Time,Cd,Cd(f),Cd(r),Cl,Cl(f),Cl(r),CmPitch,CmRoll,CmYaw,Cs,Cs(f),Cs(r)
110.0,0.1058695,-1.047686,1.153556,-1.660169,-0.2506876,-1.409481,0.5793969,-1.100621,-0.01861753,0.07409558,0.01843026,0.05566531
111.0,0.105883,-1.048303,1.154186,-1.6611,-0.2507015,-1.410399,0.5798486,-1.101244,-0.01860018,0.07414083,0.01847023,0.0556706
112.0,0.1058956,-1.048894,1.15479,-1.661997,-0.2507167,-1.411281,0.5802819,-1.101842,-0.01858293,0.07418476,0.01850945,0.05567531
113.0,0.1059075,-1.049462,1.15537,-1.662861,-0.250733,-1.412128,0.5806977,-1.102416,-0.01856581,0.0742274,0.01854789,0.0556795
114.0,0.1059185,-1.050007,1.155926,-1.663694,-0.2507502,-1.412943,0.5810966,-1.102967,-0.01854882,0.07426876,0.01858556,0.0556832
115.0,0.1059289,-1.05053,1.156459,-1.664495,-0.2507683,-1.413727,0.5814791,-1.103495,-0.01853199,0.07430889,0.01862246,0.05568643
116.0,0.1059384,-1.051029,1.156968,-1.665262,-0.2507873,-1.414475,0.5818439,-1.103999,-0.01851526,0.07434772,0.01865861,0.05568912
117.0,0.1059474,-1.051509,1.157457,-1.666003,-0.2508068,-1.415196,0.5821947,-1.104483,-0.01849874,0.07438539,0.01869395,0.05569144
118.0,0.1059519,-1.05194,1.157892,-1.666659,-0.2508307,-1.415828,0.5824986,-1.104916,-0.01848054,0.07442136,0.01873014,0.05569122
119.0,0.1059544,-1.052338,1.158292,-1.66726,-0.250856,-1.416404,0.5827739,-1.105315,-0.01846188,0.07445579,0.01876602,0.05568978
120.0,0.1059565,-1.052712,1.158669,-1.667828,-0.2508807,-1.416947,0.5830331,-1.105691,-0.01844369,0.07448883,0.01880073,0.0556881
121.0,0.1059598,-1.053078,1.159038,-1.668389,-0.2509034,-1.417486,0.5832913,-1.106058,-0.01842671,0.07452074,0.01883366,0.05568708
122.0,0.1059647,-1.053441,1.159406,-1.668954,-0.2509235,-1.41803,0.5835534,-1.106424,-0.0184112,0.07455166,0.01886463,0.05568703
123.0,0.1059712,-1.053801,1.159772,-1.66952,-0.2509416,-1.418579,0.5838186,-1.106787,-0.01839706,0.07458167,0.01889378,0.0556879
124.0,0.1059785,-1.054155,1.160134,-1.670083,-0.2509583,-1.419124,0.584083,-1.107144,-0.01838397,0.0746108,0.01892143,0.05568937
125.0,0.1059862,-1.054499,1.160485,-1.670632,-0.2509744,-1.419658,0.5843416,-1.107492,-0.01837154,0.07463905,0.01894798,0.05569106
126.0,0.1059936,-1.054829,1.160823,-1.671162,-0.2509906,-1.420171,0.5845902,-1.107826,-0.01835945,0.07466641,0.01897376,0.05569265
127.0,0.1059999,-1.055146,1.161146,-1.671669,-0.2510097,-1.42066,0.584825,-1.108146,-0.01834707,0.07469319,0.01899953,0.05569366
128.0,0.1060054,-1.055452,1.161458,-1.672157,-0.2510303,-1.421127,0.5850483,-1.108455,-0.01833457,0.07471936,0.01902511,0.05569424
129.0,0.1060104,-1.055747,1.161757,-1.672628,-0.2510514,-1.421576,0.5852624,-1.108752,-0.01832212,0.07474483,0.0190503,0.05569454
130.0,0.1060152,-1.05603,1.162046,-1.673081,-0.2510718,-1.422009,0.5854687,-1.109038,-0.01830997,0.07476953,0.0190748,0.05569474
131.0,0.1060198,-1.056303,1.162323,-1.673518,-0.2510911,-1.422427,0.5856681,-1.109313,-0.01829824,0.0747934,0.01909846,0.05569494
132.0,0.1060245,-1.056565,1.162589,-1.673941,-0.2511091,-1.422832,0.5858613,-1.109577,-0.018287,0.07481642,0.01912121,0.05569521
133.0,0.1060292,-1.056816,1.162846,-1.674349,-0.2511259,-1.423223,0.5860485,-1.109831,-0.01827625,0.0748386,0.01914305,0.05569554
134.0,0.1060339,-1.057059,1.163093,-1.674744,-0.2511416,-1.423602,0.5862301,-1.110076,-0.01826598,0.07485999,0.01916401,0.05569597
135.0,0.1060387,-1.057294,1.163332,-1.675126,-0.2511567,-1.42397,0.5864065,-1.110313,-0.01825618,0.07488063,0.01918414,0.0556965
136.0,0.1060435,-1.057521,1.163565,-1.675498,-0.2511713,-1.424327,0.5865779,-1.110543,-0.01824682,0.07490059,0.01920348,0.05569711
137.0,0.1060482,-1.057743,1.163791,-1.675861,-0.2511857,-1.424675,0.5867447,-1.110767,-0.01823778,0.07491991,0.01922218,0.05569773
138.0,0.1060529,-1.057958,1.164011,-1.676213,-0.2511998,-1.425013,0.5869066,-1.110984,-0.0182291,0.07493861,0.0192402,0.05569841
139.0,0.1060576,-1.058168,1.164226,-1.676557,-0.2512137,-1.425343,0.5870647,-1.111197,-0.0182208,0.07495675,0.01925757,0.05569918
140.0,0.1060623,-1.058374,1.164436,-1.676893,-0.2512274,-1.425665,0.587219,-1.111405,-0.01821286,0.07497433,0.01927431,0.05570002
141.0,0.1060672,-1.058573,1.164641,-1.677221,-0.2512391,-1.425982,0.5873712,-1.111607,-0.01820552,0.0749912,0.01929008,0.05570111
142.0,0.1060722,-1.058766,1.164838,-1.677538,-0.2512497,-1.426288,0.5875192,-1.111802,-0.0181986,0.07500738,0.01930509,0.05570229
143.0,0.1060771,-1.058952,1.165029,-1.677844,-0.2512599,-1.426584,0.5876621,-1.11199,-0.01819196,0.07502296,0.01931952,0.05570344
144.0,0.1060817,-1.059131,1.165213,-1.67814,-0.2512702,-1.42687,0.5877997,-1.112172,-0.01818553,0.07503802,0.01933349,0.05570454
145.0,0.1060831,-1.059282,1.165365,-1.678378,-0.251284,-1.427094,0.5879049,-1.112324,-0.01817777,0.07505232,0.01934839,0.05570393
146.0,0.1060831,-1.059416,1.165499,-1.678584,-0.2512994,-1.427284,0.5879925,-1.112457,-0.01816957,0.07506596,0.01936341,0.05570254
147.0,0.106083,-1.059544,1.165627,-1.67878,-0.2513143,-1.427465,0.5880755,-1.112585,-0.01816166,0.07507905,0.01937787,0.05570118
